หมายเลขห้อง,ประเภทห้องพัก,ชั้น,สถานะห้องพัก,ค่าเช่า (บาท),รหัสนักศึกษา
001,เตียงเดี่ยว,1,ว่าง,3000,
002,เตียงเดี่ยว,1,มีผู้เช่า,3000,6810301035
003,เตียงเดี่ยว,1,ว่าง,3000,
004,เตียงคู่,1,ว่าง,4000,
005,เตียงคู่,1,มีผู้เช่า,4000,6510301001
006,เตียงคู่,1,ว่าง,4000,
007,เตียงเดี่ยว,2,ว่าง,3000,
008,เตียงเดี่ยว,2,มีผู้เช่า,3000,6810301028
009,เตียงเดี่ยว,2,ว่าง,3000,
010,เตียงคู่,2,ว่าง,4000,
011,เตียงคู่,2,มีผู้เช่า,4000,6810301010
012,เตียงคู่,2,ว่าง,4000,
013,เตียงเดี่ยว,3,ว่าง,3000,
014,เตียงเดี่ยว,3,มีผู้เช่า,3000,6810301026
015,เตียงเดี่ยว,3,ว่าง,3000,
016,เตียงคู่,3,ว่าง,4000,
017,เตียงคู่,3,ว่าง,4000,
018,เตียงคู่,3,ว่าง,4000,
